Action_time,Category,User_ID,URL
2019-07-22T09:00:28.572171Z,sub-lev-rtp1,10x2217145yz7380,POST https://genyplc.com:490/task/chk HTTP/1.1
2019-07-22T09:00:31.247942Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task/orderdetail/1116215804?ptt=web&vert=7 HTTP/1.1
2019-07-22T09:00:31.547277Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task/saif/zandag?ptt=web&vert=7 HTTP/1.1
2019-07-22T09:00:40.279945Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/papi/v1/specialsearch/product/16922283/ofps?parent_id=12144125&price=878&ptt=web&vert=7 HTTP/1.1
2019-07-22T09:00:40.608830Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task/saif/zandag?ptt=web&vert=7 HTTP/1.1
2019-07-22T09:00:41.903342Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/favicon.ico HTTP/1.1
2019-07-22T09:00:42.450750Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/ofp/wp-content/plugins/owl-carousel/js/owl.carousel.js?ver=4.2.2 HTTP/1.1
2019-07-22T09:00:43.643886Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/?utm_medium=affiliate&utm_plat=Netcore_mailer&utm_campaign=ElectronicSale-20072015&utm_term=aff3-O HTTP/1.1
2019-07-22T09:00:46.161166Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/favicon.ico HTTP/1.1
2019-07-22T09:00:48.101942Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task/chk?ptt=web&vert=7 HTTP/1.1
2019-07-22T09:00:48.371709Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/papi/nps/merchantrating?merchant_id=70425&ptt=web&vert=7 HTTP/1.1
2019-07-22T09:00:50.118260Z,sub-lev-rtp1,10x2217145yz7380,POST https://genyplc.com:490/papi/v1/expresschk/verify HTTP/1.1
2019-07-22T09:00:51.856163Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/papi/v1/specialsearch/product/8515423/ofps?parent_id=1&price=700 HTTP/1.0
2019-07-22T09:00:52.400448Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/genyplcsaif HTTP/1.1
2019-07-22T09:00:53.613776Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/api/user/favourite?ptt=web&vert=7 HTTP/1.1
2019-07-22T09:01:31.161971Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task/ad/genyplcAd?cat=hvfp&op=Tata%20Indicom&genyplc=new HTTP/1.1
2019-07-22T09:01:32.312535Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/favicon.ico HTTP/1.1
2019-07-22T09:01:32.910456Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task HTTP/1.1
2019-07-22T09:01:40.222870Z,sub-lev-rtp1,10x2217145yz7380,POST https://genyplc.com:490/api/v1/expresschk/station?saif=1 HTTP/1.1
2019-07-22T09:01:45.187010Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/ofp/wp-content/plugins/really-simple-facebook-twitter-share-buttons/style.css?ver=4.2.2 HTTP/1.1
2019-07-22T09:01:46.021206Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task/autreps?code=c51b9fd4-dcaa-461a-8f77-6b059d147bb6&state=null HTTP/1.1
2019-07-22T09:01:46.872234Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/papi/nps/merchantrating?merchant_id=69290&ptt=web&vert=7 HTTP/1.1
2019-07-22T09:01:46.953343Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/ofp/wp-content/plugins/wp-image-slider-with-lightbox/css/jquery.lbox.css?ver=4.2.2 HTTP/1.1
2019-07-22T09:01:51.409349Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/ofp/wp-content/plugins/easy-logo-slider/css/style-admin.css?ver=4.2.2 HTTP/1.1
2019-07-22T09:01:51.465032Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/papi/rr/items/11369246/statistics?ptt=web&vert=7 HTTP/1.1
2019-07-22T09:01:51.570268Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/settings HTTP/1.1
2019-07-22T09:01:53.337456Z,sub-lev-rtp1,10x2217145yz7380,GET https://genyplc.com:490/task/saif/txnhistory?page_size=10&page_number=1 HTTP/1.1
